±‚∞£,«∞∏Ò∏Ì,«∞∏Òƒ⁄µÂ,ºˆ√‚¡ﬂ∑Æ,ºˆ¿‘¡ﬂ∑Æ,ºˆ√‚±›æ◊,ºˆ¿‘±›æ◊,π´ø™ºˆ¡ˆ
2018.10,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,189.0",                 152.0,"              27,293","               4,061","              23,232"
2018.11,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,175.3",                 219.6,"              18,815","               3,947","              14,868"
2018.12,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,335.8",                 242.0,"              18,528","               4,513","              14,015"
2019.01,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,044.1",                 295.7,"              15,378","               5,625","               9,753"
2019.02,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,                 941.3,                 107.1,"              17,391","               3,272","              14,119"
2019.03,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,219.0",                 264.0,"              20,191","               5,964","              14,227"
2019.04,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,340.8",                 294.2,"              21,937","               5,883","              16,054"
2019.05,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,157.6",                 297.0,"              18,977","               6,912","              12,065"
2019.06,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,                 899.8,                 253.6,"              18,558","               6,055","              12,503"
2019.07,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,052.9",                 214.8,"              18,351","               5,688","              12,663"
2019.08,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,                 907.0,                 252.1,"              14,455","               5,589","               8,866"
2019.09,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,001.9",                 284.7,"              13,791","               5,452","               8,339"
2019.10,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,372.6",                 364.4,"              16,462","               5,975","              10,487"
2019.11,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,342.3",                 313.2,"              15,985","               5,695","              10,290"
2019.12,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,004.4",                 184.1,"              15,309","               4,515","              10,794"
2020.01,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,                 995.7,                 245.2,"              11,669","               4,354","               7,315"
2020.02,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,200.0",                  72.1,"              14,178","               2,384","              11,794"
2020.03,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,218.1",                 307.2,"              13,757","               5,687","               8,070"
2020.04,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,150.2",                 250.5,"              13,098","               4,112","               8,986"
2020.05,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,                 991.1,                 216.3,"              11,096","               4,518","               6,578"
2020.06,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,128.0",                 144.6,"              13,930","               4,446","               9,484"
2020.07,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,056.1",                 243.3,"              13,345","               4,890","               8,455"
2020.08,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,                 829.4,                 593.4,"               9,673","               5,294","               4,379"
2020.09,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,107.6",                 179.2,"              12,240","               4,445","               7,795"
2020.10,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,187.7",                 215.6,"              15,277","               3,728","              11,549"
2020.11,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,208.8",                 220.4,"              13,888","               4,001","               9,887"
2020.12,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,435.9",                 216.1,"              16,516","               5,788","              10,728"
2021.01,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,009.0",                 252.2,"              12,601","               4,921","               7,680"
2021.02,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,                 927.2,                 217.7,"              11,907","               4,500","               7,407"
2021.03,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,153.9",                 244.9,"              13,550","               6,177","               7,373"
2021.04,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,215.5",                 277.5,"              13,543","               6,531","               7,012"
2021.05,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,266.2",                 620.7,"              12,545","               6,780","               5,765"
2021.06,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,455.8",                 306.5,"              15,377","               6,253","               9,124"
2021.07,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,461.4",                 258.5,"              17,775","               7,991","               9,784"
2021.08,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,                 925.9,                 201.7,"              11,654","               5,178","               6,476"
2021.09,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,132.6",                 241.2,"              12,316","               5,325","               6,991"
2021.10,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,634.9",                 253.4,"              16,032","               5,414","              10,618"
2021.11,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,452.6",                 327.8,"              15,150","               6,406","               8,744"
2021.12,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,565.4",                 446.7,"              16,794","               7,481","               9,313"
2022.01,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,458.8",                 253.5,"              15,150","               5,221","               9,929"
2022.02,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,428.0",                 141.0,"              15,186","               4,284","              10,902"
2022.03,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,807.9",                  92.6,"              19,234","               4,888","              14,346"
2022.04,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,691.9",                 230.5,"              18,468","               5,390","              13,078"
2022.05,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,955.2",                 266.5,"              18,241","               5,835","              12,406"
2022.06,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,640.4",                 216.6,"              16,935","               5,503","              11,432"
2022.07,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,755.6",                 392.3,"              19,632","               8,574","              11,058"
2022.08,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,704.6",                 267.3,"              17,746","               8,291","               9,455"
2022.09,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,401.1",                 329.3,"              16,894","               7,063","               9,831"
2022.10,±§º∂¿Ø ƒ…¿Ã∫Ì,8544700000,"               1,536.4",                 292.5,"              18,931","               7,287","              11,644"
