±â°£,Ç°¸ñ¸í,Ç°¸ñÄÚµå,¼öÃâÁß·®,¼öÀÔÁß·®,¼öÃâ±Ý¾×,¼öÀÔ±Ý¾×,¹«¿ª¼öÁö
2018.10,Çï·ý,2804291000,                  22.1,                 149.4,"               1,061","               7,149","              -6,088"
2018.11,Çï·ý,2804291000,                  37.4,                 233.5,"               1,826","              11,338","              -9,512"
2018.12,Çï·ý,2804291000,                  18.1,                 174.0,                 925,"               8,528","              -7,603"
2019.01,Çï·ý,2804291000,                  25.3,                 188.6,"               1,449","               9,330","              -7,881"
2019.02,Çï·ý,2804291000,                  39.9,                 227.4,"               2,019","              11,526","              -9,507"
2019.03,Çï·ý,2804291000,                  43.9,                 220.5,"               2,847","              11,695","              -8,848"
2019.04,Çï·ý,2804291000,                  15.2,                 189.8,                 768,"              10,511","              -9,743"
2019.05,Çï·ý,2804291000,                  30.1,                 201.3,"               1,868","              11,081","              -9,213"
2019.06,Çï·ý,2804291000,                  29.2,                 163.3,"               1,824","               9,229","              -7,405"
2019.07,Çï·ý,2804291000,                  41.0,                 179.4,"               2,422","               9,798","              -7,376"
2019.08,Çï·ý,2804291000,                  40.6,                 145.6,"               2,545","               8,238","              -5,693"
2019.09,Çï·ý,2804291000,                  37.0,                 174.8,"               2,844","               9,699","              -6,855"
2019.10,Çï·ý,2804291000,                  41.5,                 211.7,"               3,427","              13,320","              -9,893"
2019.11,Çï·ý,2804291000,                  22.8,                 154.0,"               2,333","              11,063","              -8,730"
2019.12,Çï·ý,2804291000,                  17.0,                 154.3,"               1,580","              10,675","              -9,095"
2020.01,Çï·ý,2804291000,                  19.4,                 156.8,"               1,754","              12,904","             -11,150"
2020.02,Çï·ý,2804291000,                  37.5,                 190.8,"               3,481","              15,961","             -12,480"
2020.03,Çï·ý,2804291000,                  18.7,                 198.5,"               1,747","              16,934","             -15,187"
2020.04,Çï·ý,2804291000,                  27.4,                 205.7,"               2,585","              16,926","             -14,341"
2020.05,Çï·ý,2804291000,                  12.5,                 177.4,"               1,154","              14,572","             -13,418"
2020.06,Çï·ý,2804291000,                  18.6,                 152.3,"               1,677","              12,033","             -10,356"
2020.07,Çï·ý,2804291000,                  21.2,                 185.7,"               1,893","              15,019","             -13,126"
2020.08,Çï·ý,2804291000,                  22.5,                 139.6,"               1,948","              11,197","              -9,249"
2020.09,Çï·ý,2804291000,                  20.6,                 147.9,"               1,740","              12,420","             -10,680"
2020.10,Çï·ý,2804291000,                  32.4,                 167.9,"               2,840","              13,138","             -10,298"
2020.11,Çï·ý,2804291000,                  20.1,                 167.2,"               1,722","              13,764","             -12,042"
2020.12,Çï·ý,2804291000,                  32.0,                 249.3,"               2,762","              20,962","             -18,200"
2021.01,Çï·ý,2804291000,                  24.2,                 127.5,"               2,464","               9,319","              -6,855"
2021.02,Çï·ý,2804291000,                  20.0,                 186.7,"               1,762","              14,887","             -13,125"
2021.03,Çï·ý,2804291000,                  28.3,                 260.4,"               2,495","              19,810","             -17,315"
2021.04,Çï·ý,2804291000,                  80.1,                 254.6,"               7,823","              21,241","             -13,418"
2021.05,Çï·ý,2804291000,                  42.1,                 161.8,"               3,962","              13,353","              -9,391"
2021.06,Çï·ý,2804291000,                  19.8,                 136.3,"               1,614","              10,810","              -9,196"
2021.07,Çï·ý,2804291000,                  34.7,                 183.5,"               3,002","              13,934","             -10,932"
2021.08,Çï·ý,2804291000,                  22.9,                  99.5,"               2,048","               8,141","              -6,093"
2021.09,Çï·ý,2804291000,                  14.6,                 281.1,"               1,253","              21,904","             -20,651"
2021.10,Çï·ý,2804291000,                  37.7,                 253.5,"               3,158","              18,294","             -15,136"
2021.11,Çï·ý,2804291000,                  23.0,                 149.4,"               2,041","              10,816","              -8,775"
2021.12,Çï·ý,2804291000,                  30.3,                 206.2,"               2,978","              14,953","             -11,975"
2022.01,Çï·ý,2804291000,                  25.0,                 203.7,"               2,192","              15,081","             -12,889"
2022.02,Çï·ý,2804291000,                  20.9,                 137.2,"               1,832","              10,540","              -8,708"
2022.03,Çï·ý,2804291000,                  35.7,                 201.3,"               3,236","              14,862","             -11,626"
2022.04,Çï·ý,2804291000,                  21.1,                 169.4,"               1,847","              12,994","             -11,147"
2022.05,Çï·ý,2804291000,                  23.8,                 245.9,"               2,401","              19,585","             -17,184"
2022.06,Çï·ý,2804291000,                  19.2,                 142.0,"               1,753","              11,556","              -9,803"
2022.07,Çï·ý,2804291000,                  21.1,                 224.2,"               2,031","              17,566","             -15,535"
2022.08,Çï·ý,2804291000,                  16.6,                 202.8,"               1,678","              16,839","             -15,161"
2022.09,Çï·ý,2804291000,                  20.4,                 188.3,"               2,307","              15,086","             -12,779"
2022.10,Çï·ý,2804291000,                  12.7,                 232.1,"               1,415","              20,105","             -18,690"
