기간,품목명,품목코드,수출중량,수입중량,수출금액,수입금액,무역수지
2018.10,기타,2812190000,                  98.2,                  77.0,"               1,473","               1,537",                 -64
2018.11,기타,2812190000,                  46.9,                  71.2,"               1,003",                 778,                 225
2018.12,기타,2812190000,                  34.4,                 117.7,"               1,480","               1,131",                 349
2019.01,기타,2812190000,                  16.3,                  96.2,"               1,439","               1,588",                -149
2019.02,기타,2812190000,                  73.4,                  89.5,                 968,"               1,038",                 -70
2019.03,기타,2812190000,                  29.1,                 117.4,"               1,069","               1,218",                -149
2019.04,기타,2812190000,                  29.7,                 144.4,"               1,044","               1,077",                 -33
2019.05,기타,2812190000,                  39.8,                 111.0,"               1,868",                 996,                 872
2019.06,기타,2812190000,                  30.8,                 157.1,"               1,147","               1,262",                -115
2019.07,기타,2812190000,                  14.7,                 120.0,"               1,822","               1,213",                 609
2019.08,기타,2812190000,                   7.3,                 244.9,                 907,"               1,207",                -300
2019.09,기타,2812190000,                  10.2,                 443.7,                 998,"               1,962",                -964
2019.10,기타,2812190000,                   9.5,                 267.2,"               1,101","               1,551",                -450
2019.11,기타,2812190000,                  30.4,                 335.7,"               1,141","               1,057",                  84
2019.12,기타,2812190000,                  30.0,                 445.7,"               1,089","               1,849",                -760
2020.01,기타,2812190000,                  13.9,                 440.6,"               1,018",                 857,                 161
2020.02,기타,2812190000,                  13.2,                  50.4,"               1,154","               1,322",                -168
2020.03,기타,2812190000,                  18.2,                 254.0,"               1,575","               1,619",                 -44
2020.04,기타,2812190000,                  15.9,                 217.4,"               1,416","               1,316",                 100
2020.05,기타,2812190000,                  12.4,                  51.2,                 638,                 946,                -308
2020.06,기타,2812190000,                  10.8,                 285.1,"               1,173","               1,874",                -701
2020.07,기타,2812190000,                  28.9,                 275.3,                 889,"               1,585",                -696
2020.08,기타,2812190000,                  76.4,                 377.8,                 825,"               2,034","              -1,209"
2020.09,기타,2812190000,                   7.3,                 251.6,                 724,"               1,766","              -1,042"
2020.10,기타,2812190000,                  13.6,                 179.4,"               1,095","               1,528",                -433
2020.11,기타,2812190000,                  10.3,                 338.3,"               1,245","               2,041",                -796
2020.12,기타,2812190000,                  13.3,                 120.6,                 924,"               1,317",                -393
2021.01,기타,2812190000,                  21.1,                 597.1,"               1,674","               1,374",                 300
2021.02,기타,2812190000,                  16.2,                 266.6,"               1,385","               1,290",                  95
2021.03,기타,2812190000,                  21.0,                 265.3,"               1,667","               1,966",                -299
2021.04,기타,2812190000,                  14.0,                 284.9,"               1,400","               1,677",                -277
2021.05,기타,2812190000,                  20.9,                 302.4,"               1,779","               1,868",                 -89
2021.06,기타,2812190000,                  16.0,                 189.5,"               2,643","               1,193","               1,450"
2021.07,기타,2812190000,                  24.9,                 250.8,"               2,966",                 786,"               2,180"
2021.08,기타,2812190000,                  18.5,                  65.8,"               2,384","               2,382",                   2
2021.09,기타,2812190000,                  21.3,                 108.4,"               2,435","               1,750",                 685
2021.10,기타,2812190000,                  21.7,                 196.0,"               2,491","               1,763",                 728
2021.11,기타,2812190000,                  18.2,                 224.4,"               2,836","               2,285",                 551
2021.12,기타,2812190000,                  22.2,                 303.8,"               3,306","               4,240",                -934
2022.01,기타,2812190000,                  23.4,                 201.6,"               3,303","               2,820",                 483
2022.02,기타,2812190000,                  23.1,                  58.0,"               5,335","               2,000","               3,335"
2022.03,기타,2812190000,                  32.0,                  70.2,"               5,760","               2,595","               3,165"
2022.04,기타,2812190000,                  16.3,                 109.0,"               5,636","               2,497","               3,139"
2022.05,기타,2812190000,                  28.2,                 113.1,"               4,964","               2,659","               2,305"
2022.06,기타,2812190000,                  28.4,                  45.7,"               7,732","               2,962","               4,770"
2022.07,기타,2812190000,                  18.8,                 337.5,"               5,980","               3,213","               2,767"
2022.08,기타,2812190000,                  19.6,                 162.1,"               5,172","               3,230","               1,942"
2022.09,기타,2812190000,                  24.6,                  76.1,"               3,173","               1,058","               2,115"
2022.10,기타,2812190000,                  17.0,                 134.5,"               4,871","               2,757","               2,114"
