"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017- 01- 01","2.7335","2.5070","2.7360","2.4725","1.24M","9.10%"
"2016- 12- 01","2.5055","2.6270","2.7055","2.4530","77.86K","-4.72%"
"2016- 11- 01","2.6295","2.2115","2.7445","2.2100","15.22K","19.09%"
"2016- 10- 01","2.2080","2.2145","2.2160","2.0845","1.12M","-0.11%"
"2016- 09- 01","2.2105","2.0840","2.2190","2.0720","125.08K","6.53%"
"2016- 08- 01","2.0750","2.2290","2.2455","2.0720","7.94K","-6.74%"
"2016- 07- 01","2.2250","2.2015","2.2775","2.1165","1.18M","1.34%"
"2016- 06- 01","2.1955","2.0895","2.2060","2.0175","113.71K","4.55%"
"2016- 05- 01","2.1000","2.2870","2.2940","2.0380","1.19M","-8.04%"
"2016- 04- 01","2.2835","2.1900","2.3025","2.0765","130.51K","4.36%"
"2016- 03- 01","2.1880","2.1290","2.3235","2.0955","1.20M","2.60%"
"2016- 02- 01","2.1325","2.0600","2.1640","2.0025","158.87K","2.99%"
"2016- 01- 01","2.0705","2.1335","2.1395","1.9355","1.01M","-3.02%"
"2015- 12- 01","2.1350","2.0700","2.1485","2.0300","54.05K","4.35%"
"2015- 11- 01","2.0460","2.3065","2.3615","2.0030","9.95K","-11.94%"
"2015- 10- 01","2.3235","2.3380","2.4375","2.2730","902.43K","-0.75%"
"2015- 09- 01","2.3410","2.3345","2.4860","2.2255","111.14K","0.11%"
"2015- 08- 01","2.3385","2.3500","2.4305","2.2120","8.62K","-1.29%"
"2015- 07- 01","2.3690","2.6145","2.6495","2.3375","1.13M","-9.41%"
"2015- 06- 01","2.6150","2.7255","2.7700","2.5650","123.82K","-4.32%"
"2015- 05- 01","2.7330","2.8850","2.9560","2.7320","762.01K","-5.32%"
"2015- 04- 01","2.8865","2.7570","2.8900","2.6620","115.87K","5.31%"
"2015- 03- 01","2.7410","2.6985","2.9145","2.5525","996.44K","1.84%"
"2015- 02- 01","2.6915","2.4745","2.7140","2.4720","111.59K","7.85%"
"2015- 01- 01","2.4955","2.8255","2.8410","2.4190","1.06M","-11.68%"
"2014- 12- 01","2.8255","2.8185","2.9515","2.7790","57.76K","-1.07%"
"2014- 11- 01","2.8560","3.0455","3.0770","2.8555","6.91K","-6.27%"
"2014- 10- 01","3.0470","3.0070","3.1140","2.9515","995.82K","1.31%"
"2014- 09- 01","3.0075","3.1490","3.2060","3.0060","108.99K","-4.61%"
