"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 06- 01","1,278.06","1,324.43","1,338.45","1,272.87","","-3.36%"
"2016- 05- 01","1,322.56","1,310.38","1,345.85","1,302.69","","0.95%"
"2016- 04- 01","1,310.14","1,302.97","1,325.68","1,276.51","","0.66%"
"2016- 03- 01","1,301.61","1,346.33","1,354.39","1,290.53","","-3.23%"
"2016- 02- 01","1,345.00","1,309.39","1,379.70","1,300.18","","2.85%"
"2016- 01- 01","1,307.78","1,277.15","1,340.54","1,274.32","","2.49%"
"2015- 12- 01","1,276.00","1,226.53","1,313.50","1,221.70","","4.17%"
"2015- 11- 01","1,224.90","1,255.69","1,262.14","1,210.43","","-2.38%"
"2015- 10- 01","1,254.75","1,324.74","1,339.89","1,234.58","","-5.21%"
"2015- 09- 01","1,323.73","1,326.64","1,353.54","1,314.16","","-0.09%"
"2015- 08- 01","1,324.94","1,279.78","1,410.59","1,263.04","","3.45%"
"2015- 07- 01","1,280.72","1,247.77","1,300.67","1,230.83","","2.78%"
"2015- 06- 01","1,246.04","1,222.81","1,270.64","1,211.28","","1.99%"
"2015- 05- 01","1,221.77","1,209.20","1,248.64","1,197.94","","1.15%"
"2015- 04- 01","1,207.87","1,190.06","1,214.43","1,152.48","","1.60%"
"2015- 03- 01","1,188.87","1,231.97","1,237.17","1,184.04","","-3.49%"
"2015- 02- 01","1,231.82","1,244.23","1,270.64","1,229.32","","-0.90%"
"2015- 01- 01","1,243.04","1,323.45","1,333.68","1,196.31","","-5.98%"
"2014- 12- 01","1,322.08","1,386.32","1,392.78","1,320.57","","-4.54%"
"2014- 11- 01","1,385.00","1,343.57","1,402.60","1,337.69","","3.10%"
"2014- 10- 01","1,343.32","1,332.56","1,375.97","1,325.13","","0.85%"
"2014- 09- 01","1,332.00","1,332.27","1,353.63","1,316.63","","0.05%"
